zipCode,Ticket_Count
00042,6
00404,3
00409,10
01010,4
01029,5
01527,4
01545,2
01701,4
01826,11
01830,14
01832,11
01834,3
01843,4
01913,8
01950,4
01951,3
02019,4
02050,4
02061,4
02130,8
02151,4
02176,5
02420,6
02459,4
02472,7
02532,3
02539,7
02568,8
02576,1
02760,4
02780,3
02850,8
02874,2
02889,1
03031,11
03032,8
03036,4
03037,17
03038,20
03042,5
03043,10
03044,15
03045,20
03046,8
03048,4
03053,8
03054,6
03060,5
03062,3
03063,3
03064,5
03070,14
03077,18
03079,11
03082,4
03084,4
03087,11
03102,15
03103,10
03104,10
03106,20
03110,12
03216,5
03220,8
03222,11
03223,5
03225,20
03235,3
03243,3
03244,12
03245,16
03246,37
03249,5
03253,8
03254,6
03255,4
03258,5
03259,5
03261,12
03262,3
03263,6
03264,5
03269,19
03275,6
03276,31
03278,8
03281,17
03285,4
03290,21
03301,19
03302,3
03303,7
03304,6
03307,23
03442,3
03561,8
03570,41
03574,3
03576,5
03581,13
03582,5
03584,7
03585,4
03588,3
03598,3
03741,3
03748,3
03753,7
03771,8
03801,38
03809,23
03813,55
03814,24
03816,7
03818,48
03820,66
03823,10
03824,22
03825,44
03826,3
03830,4
03833,37
03835,15
03836,5
03838,5
03839,31
03840,8
03842,8
03844,2
03845,2
03846,6
03849,16
03850,14
03851,26
03852,4
03853,7
03855,13
03857,20
03860,57
03861,27
03862,12
03864,15
03865,1
03867,124
03868,12
03869,22
03872,17
03874,3
03875,13
03878,46
03882,15
03884,7
03885,20
03886,10
03887,19
03890,3
03894,22
03896,4
03901,72
03902,2
03903,43
03904,37
03905,3
03906,46
03907,4
03908,63
03909,32
04001,48
04002,126
04005,250
04006,4
04008,29
04009,64
04010,25
04011,185
04013,3
04015,57
04020,42
04021,142
04022,21
04024,8
04027,92
04029,42
04030,25
04032,93
04037,20
04038,324
04039,174
04040,17
04041,6
04042,94
04043,140
04046,96
04047,26
04048,64
04049,95
04050,4
04051,11
04055,66
04056,9
04057,2
04061,40
04062,334
04063,10
04064,97
04066,8
04068,20
04069,18
04070,14
04071,53
04072,333
04073,215
04074,374
04075,6
04076,68
04077,8
04079,48
04082,2
04083,53
04084,178
04085,46
04086,88
04087,98
04088,12
04090,140
04091,29
04092,295
04093,131
04094,3
04095,35
04096,78
04097,51
04098,7
04101,120
04102,185
04103,345
04104,2
04105,209
04106,510
04107,149
04108,13
04110,22
04150,4
04210,295
04211,4
04212,5
04217,28
04219,40
04220,45
04222,74
04224,11
04227,2
04236,63
04238,8
04239,24
04240,374
04250,103
04252,74
04253,10
04254,30
04255,4
04256,31
04257,61
04258,54
04259,43
04260,87
04263,20
04265,3
04268,43
04270,69
04274,73
04275,5
04276,54
04280,75
04281,74
04282,84
04283,4
04284,24
04285,3
04287,24
04289,14
04290,23
04292,9
04294,14
04330,250
04342,21
04344,43
04345,138
04346,17
04347,19
04348,29
04349,10
04350,54
04351,36
04352,10
04353,17
04355,43
04357,41
04358,36
04360,6
04363,19
04364,72
04385,3
04401,13
04412,8
04414,2
04416,4
04424,3
04426,3
04444,8
04456,6
04461,8
04462,11
04463,6
04468,8
04471,8
04472,4
04473,3
04530,106
04537,3
04538,13
04539,14
04543,15
04544,3
04547,14
04548,4
04553,5
04554,3
04555,21
04556,30
04562,24
04563,7
04564,5
04572,50
04573,16
04574,15
04575,3
04578,37
04579,87
04605,9
04635,3
04652,5
04654,1
04684,2
04730,5
04732,3
04740,2
04742,3
04746,3
04747,7
04750,5
04756,4
04757,2
04758,8
04777,4
04783,2
04785,10
04841,23
04843,21
04847,8
04849,11
04853,2
04856,10
04858,7
04860,16
04861,2
04862,14
04863,8
04864,35
04901,136
04910,8
04911,3
04915,5
04917,33
04920,4
04922,5
04923,7
04927,5
04930,4
04937,29
04938,59
04939,6
04941,4
04942,7
04947,6
04949,3
04950,17
04955,6
04956,3
04957,19
04963,71
04964,2
04966,14
04967,12
04970,4
04971,2
04973,3
04976,36
04982,3
04983,9
04984,3
04986,4
04989,36
04992,5
05048,6
05081,4
05089,2
05156,4
05353,7
05354,6
05439,4
05452,4
05468,3
05641,3
05651,5
05654,2
06118,2
06382,4
06415,7
06424,7
06480,3
06883,12
08844,3
10022,2
10533,4
11231,3
11950,3
12983,4
13207,3
16803,6
17777,3
19901,10
20155,4
20620,4
20736,2
20745,2
20751,2
20765,4
22213,3
22740,3
23898,4
25526,10
27406,2
28412,5
28422,2
29414,6
29456,4
29464,3
30297,2
33064,3
33175,4
33444,5
33496,3
33770,4
33936,3
33950,4
33952,8
34293,4
34695,4
37339,6
38104,3
43110,2
43235,2
44212,3
45208,2
48377,3
52501,6
55374,6
55407,6
58801,7
60614,3
74104,6
78642,3
78660,5
79928,4
80111,4
80228,7
83617,4
83646,3
83714,3
92058,3
92679,12
95008,2
95688,6
95816,2
97213,2
98032,4
98264,22
Unknown,49
